iter	Passed	Remaining
0	1	210
1	1	191
2	3	201
3	4	241
4	6	240
5	7	229
6	7	218
7	8	209
8	9	204
9	10	201
10	11	194
11	12	190
12	12	186
13	13	181
14	14	178
15	15	175
16	16	173
17	17	172
18	18	176
19	19	175
20	20	173
21	21	170
22	21	167
23	22	165
24	23	164
25	24	162
26	25	161
27	25	159
28	26	157
29	27	155
30	28	153
31	29	152
32	30	152
33	30	151
34	31	150
35	33	150
36	33	149
37	34	148
38	35	146
39	36	145
40	37	143
41	37	142
42	38	141
43	39	139
44	40	138
45	41	138
46	42	136
47	42	135
48	43	134
49	44	133
50	45	132
51	46	131
52	46	130
53	47	129
54	48	128
55	49	127
56	50	126
57	51	125
58	52	124
59	52	123
60	53	122
61	54	121
62	55	120
63	56	119
64	57	118
65	58	118
66	58	117
67	59	116
68	60	115
69	61	114
70	62	113
71	63	112
72	64	111
73	64	110
74	65	109
75	66	108
76	67	107
77	68	106
78	68	105
79	69	104
80	70	103
81	71	102
82	71	101
83	72	100
84	73	99
85	74	98
86	75	97
87	76	96
88	77	96
89	77	95
90	78	94
91	79	93
92	80	92
93	81	91
94	82	90
95	82	89
96	83	88
97	84	87
98	85	86
99	86	86
100	86	85
101	87	84
102	88	83
103	89	82
104	90	81
105	91	81
106	92	80
107	92	79
108	93	78
109	94	77
110	95	76
111	96	75
112	96	74
113	97	73
114	98	72
115	99	71
116	100	71
117	100	70
118	101	69
119	102	68
120	103	67
121	104	66
122	105	65
123	105	64
124	106	64
125	107	63
126	108	62
127	109	61
128	109	60
129	110	59
130	111	58
131	112	57
132	113	56
133	113	56
134	114	55
135	115	54
136	116	53
137	116	52
138	117	51
139	118	50
140	119	49
141	120	49
142	121	48
143	121	47
144	122	46
145	123	45
146	124	44
147	125	43
148	125	43
149	126	42
150	127	41
151	128	40
152	128	39
153	129	38
154	130	37
155	131	36
156	132	36
157	133	35
158	133	34
159	134	33
160	135	32
161	136	31
162	137	31
163	137	30
164	138	29
165	139	28
166	140	27
167	140	26
168	141	25
169	142	25
170	143	24
171	143	23
172	144	22
173	145	21
174	146	20
175	147	20
176	148	19
177	148	18
178	149	17
179	150	16
180	151	15
181	152	15
182	153	14
183	154	13
184	155	12
185	155	11
186	156	10
187	157	10
188	158	9
189	159	8
190	161	7
191	162	6
192	162	5
193	163	5
194	164	4
195	165	3
196	165	2
197	166	1
198	167	0
199	168	0
